,date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url
5326,3/14/21,2154,4951,27.49,4312,Human,Male,Medium,3,"['Big Shades', 'Chinstrap', 'Headband']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4312.png
5327,4/4/21,4951,345,15,4312,Human,Male,Medium,3,"['Big Shades', 'Chinstrap', 'Headband']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4312.png
5328,7/30/21,345,5303,29.99,4312,Human,Male,Medium,3,"['Big Shades', 'Chinstrap', 'Headband']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4312.png
5329,8/4/21,5303,4199,50,4312,Human,Male,Medium,3,"['Big Shades', 'Chinstrap', 'Headband']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4312.png
10258,2/4/21,3392,1892,11.25,4313,Human,Female,Albino,2,"['Purple Lipstick', 'Cigarette']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk4313.png
10259,11/11/21,5414,5028,89.69,4313,Human,Female,Albino,2,"['Purple Lipstick', 'Cigarette']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk4313.png
10260,7/9/22,5028,6307,85.99,4313,Human,Female,Albino,2,"['Purple Lipstick', 'Cigarette']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk4313.png
3760,12/5/18,809,1217,0.28,4315,Human,Female,Dark,2,"['Red Mohawk', 'Black Lipstick']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4315.png
1120,7/19/17,2194,2601,0.3,4317,Human,Male,Dark,2,"['Mustache', 'Do-rag']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4317.png
5840,12/22/19,1303,800,0.51,4318,Human,Female,Light,3,"['Clown Eyes Green', 'Mohawk Thin', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4318.png
5841,8/4/21,800,4919,33.3,4318,Human,Female,Light,3,"['Clown Eyes Green', 'Mohawk Thin', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4318.png
5842,8/5/21,4919,1291,0,4318,Human,Female,Light,3,"['Clown Eyes Green', 'Mohawk Thin', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4318.png
5843,8/24/21,2951,5795,74.89,4318,Human,Female,Light,3,"['Clown Eyes Green', 'Mohawk Thin', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4318.png
5844,8/24/21,5795,3913,76.97,4318,Human,Female,Light,3,"['Clown Eyes Green', 'Mohawk Thin', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4318.png
5845,8/24/21,3096,2951,71.5,4318,Human,Female,Light,3,"['Clown Eyes Green', 'Mohawk Thin', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4318.png
5846,9/6/21,5322,2490,92,4318,Human,Female,Light,3,"['Clown Eyes Green', 'Mohawk Thin', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4318.png
5847,9/16/21,2490,250,92,4318,Human,Female,Light,3,"['Clown Eyes Green', 'Mohawk Thin', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4318.png
11819,2/22/21,5804,6083,35,4320,Human,Male,Medium,2,"['Cap Forward', 'VR']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4320.png
11820,4/14/21,6083,2408,39.5,4320,Human,Male,Medium,2,"['Cap Forward', 'VR']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4320.png
11821,7/10/21,2408,5860,42.99,4320,Human,Male,Medium,2,"['Cap Forward', 'VR']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4320.png
11822,7/31/21,5860,3055,47.5,4320,Human,Male,Medium,2,"['Cap Forward', 'VR']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4320.png
11823,6/18/22,1513,3096,106,4320,Human,Male,Medium,2,"['Cap Forward', 'VR']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4320.png
11824,7/9/22,4282,6353,132,4320,Human,Male,Medium,2,"['Cap Forward', 'VR']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4320.png
2010,12/6/17,3558,1579,0.09,4322,Human,Male,Dark,2,"['Frown', 'Mohawk Thin']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4322.png
15281,7/6/21,1326,1736,80,4324,Human,Male,Medium,5,"['Eye Mask', 'Normal Beard Black', 'Buck Teeth', 'Earring', 'Headband']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4324.png
15282,11/13/21,974,3096,99.9,4324,Human,Male,Medium,5,"['Eye Mask', 'Normal Beard Black', 'Buck Teeth', 'Earring', 'Headband']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4324.png
15283,11/16/21,2642,651,99.9,4324,Human,Male,Medium,5,"['Eye Mask', 'Normal Beard Black', 'Buck Teeth', 'Earring', 'Headband']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4324.png
